,Date,Price,High,Low,Close,Volume,Adj Close
0,2013-12-01,8.29,9.8,7.96,8.51,13978800,8.51
1,2014-01-01,8.52,8.64,6.64,6.67,13105200,6.67
2,2014-02-01,6.64,7.99,6.08,6.3,17445200,6.3
3,2014-03-01,6.27,7.44,6.23,7,8221300,7
4,2014-04-01,6.98,7.34,4.98,5.27,8390800,5.27
5,2014-05-01,5.31,6.14,4.82,5.57,11579700,5.57
6,2014-06-01,5.6,8.11,5.4,7.04,25201600,7.04
7,2014-07-01,7.08,7.08,5.76,6.43,9449700,6.43
8,2014-08-01,6.48,7.49,5.83,6.91,14233300,6.91
9,2014-09-01,6.94,6.98,6.04,6.24,8616500,6.24
10,2014-10-01,6.24,6.7,5.53,6.65,10879100,6.65
11,2014-11-01,6.69,7.08,6,6.76,7219200,6.76
12,2014-12-01,6.75,7.05,6.14,6.91,6631900,6.91
13,2015-01-01,6.95,7.25,6.49,6.63,6467500,6.63
14,2015-02-01,6.64,8.71,6.35,8.12,20511700,8.12
15,2015-03-01,8.16,8.85,7.88,7.95,16861400,7.95
16,2015-04-01,7.93,8.25,7.39,7.43,8471300,7.43
17,2015-05-01,7.42,8.77,7.2,7.61,14449100,7.61
18,2015-06-01,7.6,8.09,7.52,7.84,17544600,7.84
19,2015-07-01,7.87,8.45,7.57,8.31,11835700,8.31
20,2015-08-01,8.33,8.84,7.03,7.43,24031000,7.43
21,2015-09-01,7.28,8.07,6.9,7.21,11598300,7.21
22,2015-10-01,7.24,7.6,6.74,6.9,7345200,6.9
23,2015-11-01,6.9,8.03,6.55,7.26,10176900,7.26
24,2015-12-01,7.28,7.48,6.64,6.73,6744100,6.73
25,2016-01-01,6.67,6.67,5.46,5.8,10691800,5.8
26,2016-02-01,5.74,5.83,3.15,4.29,26044100,4.29
27,2016-03-01,4.34,4.6,4.03,4.46,11002400,4.46
28,2016-04-01,4.38,4.76,4.26,4.54,7413800,4.54
29,2016-05-01,4.59,4.98,4.26,4.88,10989300,4.88
30,2016-06-01,4.88,5.13,4.58,5,8154500,5
31,2016-07-01,5.02,5.81,4.82,5.39,6204100,5.39
32,2016-08-01,5.42,7.06,5.4,6.73,13033500,6.73
33,2016-09-01,6.72,7.29,6.65,7.09,12752600,7.09
34,2016-10-01,7.05,7.33,6.59,6.65,10911400,6.65
35,2016-11-01,6.68,8.57,6.51,8.09,18051700,8.09
36,2016-12-01,8.14,8.38,7.3,7.38,9693600,7.38
37,2017-01-01,7.42,7.71,7.05,7.19,7362800,7.19
38,2017-02-01,7.2,8.3,6.84,7.9,10360300,7.9
39,2017-03-01,8.04,8.47,7.81,8.44,8911100,8.44
40,2017-04-01,8.46,9.07,8.04,9.01,9919900,9.01
41,2017-05-01,9.05,12.19,8.97,12,39508400,12
42,2017-06-01,11.98,13.1,11.53,12.29,32177100,12.29
43,2017-07-01,12.3,15.37,11.93,13.85,23083900,13.85
44,2017-08-01,13.33,15.95,13.21,14.19,35222100,14.19
45,2017-09-01,14.2,15.36,13.52,14.84,18355000,14.84
46,2017-10-01,14.83,16.5,14.25,15.51,22527600,15.51
47,2017-11-01,15.64,15.66,13.75,15.21,21659000,15.21
48,2017-12-01,15.16,16.67,13.83,16.32,15496900,16.32
49,2018-01-01,16.35,17.42,15.79,17.32,12369100,17.32
50,2018-02-01,17.25,20.78,15.47,19.91,32512700,19.91
51,2018-03-01,19.93,23.22,19.42,20.66,36377500,20.66
52,2018-04-01,20.66,23.9,19.77,23.21,29214800,23.21
53,2018-05-01,22.69,28.15,21.38,27.97,31129900,27.97
54,2018-06-01,28.15,29.76,26.37,27.79,31631700,27.79
55,2018-07-01,27.53,29.84,25.38,27.7,24860900,27.7
56,2018-08-01,27.59,32.71,26.76,32.38,22893200,32.38
57,2018-09-01,32.36,32.82,26.54,28.43,26772700,28.43
58,2018-10-01,28.5,29.49,22.67,27.28,36586600,27.28
59,2018-11-01,26.38,28.33,23.21,27.95,28998300,27.95
60,2018-12-01,28.5,30.35,25.16,28.42,22496600,28.42
61,2019-01-01,28,35.59,27.58,35.22,27676200,35.22
62,2019-02-01,35.1,40,33.25,39.63,38481600,39.63
63,2019-03-01,39.85,41.69,36.07,38.12,56479300,38.12
64,2019-04-01,38.07,40.3,35.65,35.65,39874400,35.65
65,2019-05-01,35.87,38.04,34.53,37.46,37295700,37.46
66,2019-06-01,37.35,40.64,35.52,38.59,24863900,38.59
67,2019-07-01,39.43,48.22,39.07,44.92,40516200,44.92
68,2019-08-01,44.76,45.74,39.05,39.64,31762000,39.64
69,2019-09-01,39.3,39.81,29.34,29.95,44189600,29.95
70,2019-10-01,30.09,33.16,28.29,30.66,35095700,30.66
71,2019-11-01,30.77,39.73,29.17,38.77,32195500,38.77
72,2019-12-01,38.84,39.45,36.76,37.91,17170300,37.91
73,2020-01-01,38.09,43.87,37.81,41.23,26006200,41.23
74,2020-02-01,41.42,44.9,35.88,39.21,40792900,39.21
75,2020-03-01,39.41,40.75,25.89,35.78,54672800,35.78
76,2020-04-01,34.95,43.29,32.53,42.75,36711100,42.75
77,2020-05-01,41.87,67.98,41.24,61.08,121211800,61.08
78,2020-06-01,61.8,70.57,54.85,67.26,91485100,67.26
79,2020-07-01,67.26,81.03,66.12,80.97,57326600,80.97
80,2020-08-01,84.6,89.82,71.9,73.74,86115600,73.74
81,2020-09-01,74.75,78.29,62.84,71.44,51767700,71.44
82,2020-10-01,72.44,89.99,71.54,73.44,46467600,73.44
83,2020-11-01,74.85,78.99,64.8,77.93,45486500,77.93
84,2020-12-01,78.5,95.2,75.3,90.33,36145400,90.33
85,2021-01-01,90.25,104.82,85.87,95.26,33872600,95.26
86,2021-02-01,96.14,115.21,91.59,96.53,45675800,96.53
87,2021-03-01,98.4,100.19,80.33,85.66,43985300,85.66
88,2021-04-01,88,96.94,87.14,90.33,22702300,90.33
89,2021-05-01,91.11,91.52,72.5,76.91,44171700,76.91
90,2021-06-01,76.86,85.64,71.66,83.11,26110100,83.11
91,2021-07-01,83,90.5,80,88.63,18113000,88.63
92,2021-08-01,89.13,89.83,76.98,83.22,25510800,83.22
93,2021-09-01,82.94,87.13,67.42,68.02,31416900,68.02
94,2021-10-01,68.23,71.31,57.25,59.44,41591400,59.44
95,2021-11-01,59.59,63.12,24.25,27.85,222181400,27.85
96,2021-12-01,28.11,31.41,26.72,30.7,97124100,30.7
97,2022-01-01,30.81,31.32,23.23,26.47,82183600,26.47
98,2022-02-01,26.72,33.1,24.72,31.27,84425000,31.27
99,2022-03-01,31.05,36.83,29.59,36.28,54168600,36.28
100,2022-04-01,36.56,37.64,24.62,24.74,43429800,24.74
101,2022-05-01,24.61,25.45,15.66,19.46,148086000,19.46
102,2022-06-01,19.39,21.85,16.72,18.78,67529500,18.78
103,2022-07-01,19,21.37,17.43,21.3,37629200,21.3
104,2022-08-01,21.5,23.92,19.07,19.68,38293500,19.68
105,2022-09-01,19.4,23.47,18.68,21.07,35574300,21.07
106,2022-10-01,21.23,22.89,19.93,21.57,26001800,21.57
107,2022-11-01,21.97,29.9,21.07,29.84,40871700,29.84
108,2022-12-01,29.81,30.05,25.04,25.27,23612300,25.27
109,2023-01-01,25.73,26.67,19.77,20.76,49823100,20.76
110,2023-02-01,20.84,22.02,15.55,15.89,74203200,15.89
111,2023-03-01,15.96,17.31,15.25,16.3,59691700,16.3
112,2023-04-01,16.3,18.77,15.86,17.98,53992100,17.98
113,2023-05-01,17.87,17.92,8.72,10.14,111839900,10.14
